ra_2mass dec_2mass x_2mass y_2mass x_corr y_corr ra_corr dec_corr j_m h_m k_m ph_qual flux
245.939988 -26.534365 536.7842879517098 106.97809701154642 521.6780129908647 114.10021370924852 245.94049444169167 -26.53415114361264 14.986 14.608 14.649 AAB 141741.25
245.939147 -26.532988 561.8456329145631 152.88865786902423 547.1779314905679 160.81420938173216 245.939638719793 -26.532750049099327 16.511 15.981 15.606 CDD 29403.80078125
245.943235 -26.534422 439.9523304167267 105.03582663388971 423.15149619901933 112.12395359998283 245.94379825826934 -26.53420912879547 11.673 11.063 10.878 AAA 3808216.0
245.948725 -26.532421 276.19547987678266 171.6588052804679 256.5289007746262 179.91283437287615 245.94938431110276 -26.532173087515297 15.378 14.939 14.532 AAB 63798.734375
245.945661 -26.532412 367.5722418133405 172.00266718159145 349.5047560450739 180.26271385726932 245.94626669785038 -26.532163943758434 15.174 14.731 14.739 ACC 148382.265625
245.949243 -26.535011 260.79012484407417 85.31780840525933 240.85395202884547 92.06087005235139 245.9499113903056 -26.534808410047518 12.425 12.286 12.248 AAA 1139952.25
245.947827 -26.536827 303.0475472811338 24.805167106262026 283.8508793585536 30.48925753062167 245.94847062324484 -26.536656196617535 14.646 14.143 14.058 AAU 147209.59375
245.944704 -26.53491 396.1509741481964 88.74922563662876 378.5836161957898 95.55233708526976 245.9452929655204 -26.53470566278865 14.824 14.504 14.365 ABB 130970.8203125
245.946451 -26.53657 344.0780103186196 33.39151940587369 325.5993754991953 39.2258709954765 245.94707054394382 -26.53639470528517 15.874 15.301 14.828 AAU 99953.34375
245.952339 -26.53248 168.41707905505064 169.63759686944516 146.86437793851383 177.85625481466047 245.95306154845377 -26.532233102306733 14.325 13.902 13.849 AAA 228114.09375
245.956977 -26.533312 30.114643342024465 141.82980611776685 6.141649600509709 149.56182772482782 245.95778070910603 -26.533079637193477 16.547 15.762 15.761 BBU 0.0
245.953888 -26.533907 122.24697794378358 122.0466029006731 99.88630005779964 129.4324184514349 245.9546376620109 -26.53368506670124 15.748 15.201 15.59 AAD 82559.9609375
245.955005 -26.536604 88.9840306922656 32.12868838811555 66.04125122938012 37.94094043490759 245.95577422568212 -26.536429258147596 14.634 14.046 14.746 UUB 141472.484375
245.952164 -26.535704 173.69181978198117 62.173597036230206 152.23142662816576 68.51163498436426 245.95288350691348 -26.53551352316105 16.195 15.811 15.561 CCU 62713.08203125
245.890166 -26.533588 2022.5863251560747 133.21928853617507 2033.4815858463062 140.80062608555818 245.889800653828 -26.533360570981856 11.908 11.717 11.62 AEA 624009.75
245.895583 -26.532911 1861.0365145239748 155.7768248696713 1869.1046535281444 163.75291930489055 245.89531244203266 -26.53267173570865 10.535 9.848 9.72 AAA 2386995.75
245.892361 -26.532907 1957.1249175337653 155.91641121055454 1966.874603590606 163.89494840673927 245.89203406387733 -26.53266765887533 13.804 13.743 13.636 UEA 246355.6875
245.894162 -26.534609 1903.4181939281964 99.17987941902727 1912.2280123219398 106.16552730886025 245.89386657309734 -26.5343994478537 15.757 15.06 15.365 DDD 131883.375
245.895774 -26.53561 1855.3475182798736 65.80971041582836 1863.3160998497715 72.21138034810537 245.8955067777313 -26.535417968573533 13.836 13.738 13.2 DDC 82796.09375
245.894416 -26.532618 1895.838816742431 165.54603532720162 1904.5159960354235 173.69309094542763 245.8941250227636 -26.53237360588255 10.899 10.41 10.233 AAA 2565736.5
245.893282 -26.53698 1929.6664103942044 20.148202249040807 1938.935572576103 25.750795788399046 245.89297116819566 -26.53681193846062 15.701 15.673 15.363 DDD 55644.546875
245.894194 -26.536215 1902.4674619712628 45.64648194300504 1911.26064255576 51.69529537700765 245.89389912883803 -26.536033552921147 15.238 15.26 14.907 DDD 7957.4072265625
