05/15/2020 01:46:24 PM [_gen_all_tc] Generating telescope mirror emission photons
05/15/2020 01:46:24 PM [_gen_all_tc] Generating atmospheric emission photons
05/15/2020 01:46:25 PM [_gen_all_tc] GGenerating optical path for source photons
05/15/2020 01:46:26 PM [UserCommands] Determining lam_bin_edges
05/15/2020 01:46:26 PM [UserCommands] lam_bin_edges found
05/15/2020 01:46:26 PM [UserCommands] Determining lam_bin_edges
05/15/2020 01:46:26 PM [UserCommands] lam_bin_edges found
05/15/2020 01:46:26 PM [UserCommands] Determining lam_bin_edges
05/15/2020 01:46:26 PM [UserCommands] lam_bin_edges found
05/15/2020 01:46:27 PM [UserCommands] Determining lam_bin_edges
05/15/2020 01:46:27 PM [UserCommands] lam_bin_edges found
05/15/2020 01:46:27 PM [UserCommands] Determining lam_bin_edges
05/15/2020 01:46:27 PM [UserCommands] lam_bin_edges found
05/15/2020 01:46:28 PM [UserCommands] Determining lam_bin_edges
05/15/2020 01:46:28 PM [UserCommands] lam_bin_edges found
05/15/2020 01:46:28 PM [UserCommands] Determining lam_bin_edges
05/15/2020 01:46:28 PM [UserCommands] lam_bin_edges found
05/15/2020 01:46:28 PM [UserCommands] Determining lam_bin_edges
05/15/2020 01:46:28 PM [UserCommands] lam_bin_edges found
05/15/2020 01:46:29 PM [UserCommands] Determining lam_bin_edges
05/15/2020 01:46:29 PM [UserCommands] lam_bin_edges found
05/15/2020 01:46:29 PM [UserCommands] Determining lam_bin_edges
05/15/2020 01:46:29 PM [UserCommands] lam_bin_edges found
05/15/2020 01:46:30 PM [UserCommands] Determining lam_bin_edges
05/15/2020 01:46:30 PM [UserCommands] lam_bin_edges found
05/15/2020 01:46:30 PM [UserCommands] Determining lam_bin_edges
05/15/2020 01:46:30 PM [UserCommands] lam_bin_edges found
05/15/2020 01:46:30 PM [UserCommands] Determining lam_bin_edges
05/15/2020 01:46:30 PM [UserCommands] lam_bin_edges found
05/15/2020 01:46:31 PM UserCommands object created
05/15/2020 01:46:31 PM [UserCommands] Determining lam_bin_edges
05/15/2020 01:46:31 PM [UserCommands] lam_bin_edges found
05/15/2020 01:46:31 PM [UserCommands] Determining lam_bin_edges
05/15/2020 01:46:31 PM [UserCommands] lam_bin_edges found
05/15/2020 01:46:31 PM [UserCommands] Determining lam_bin_edges
